"transcript_id","is_correlated","is_discordant","gene_id","ccle_transcript_pearson","ccle_gene_pearson","ccle_transcript_spearman","ccle_gene_spearman","tsoi_transcript_pearson","tsoi_transcript_spearman","PRJNA704810_OE_MITF/CON","GSE163646_OE_MITF/CON","PRJEB30337_siCON/siMITF","GSE163646_siCON/siMITF","GSE283655_siCON/siMITF","GSE115845_siCON/siMITF","has_peak_GSE153020_Kenny","has_peak_GSE61965_Laurette","has_peak_GSE77437_Louph","ccle_mean_transcript_expression","tsoi_mean_transcript_expression","ccle_mean_gene_expression","tsoi_mean_gene_expression","ccle_mean_transcript_expression_mitf_high","ccle_mean_gene_expression_mitf_high","tsoi_mean_transcript_expression_mitf_high","tsoi_mean_gene_expression_mitf_high","EBOX_n"
"ENST00000285737",TRUE,FALSE,"LONP2",0.466563935442191,0.438860347195192,0.617335815759605,0.540754266505114,0.597060047520609,0.631093548735102,2.55219463888247,0.853466324034175,1.75937465350926,0.473776487620271,0.64811831083587,0.558690398377031,FALSE,FALSE,FALSE,3.83126023404397,3.43995702056101,4.92104361869319,4.18693480233913,4.11372004674775,5.14241560610092,3.72428279308293,4.48428785487147,2
"ENST00000285928",TRUE,FALSE,"LRGUK",0.542902351291313,0.508829227704975,0.640136989194189,0.605288160868136,0.730768625824414,0.779354083453582,2.21450643829182,1.69196851916265,0.24113235757136,0.13715791562172,0.0648915897108197,0.155151378097545,FALSE,FALSE,FALSE,0.664792346259021,0.990222880562743,0.941904441960439,1.26433030404418,0.989312294766297,1.28009132437631,1.71885312018508,1.98862552383788,1
"ENST00000288228",TRUE,FALSE,"FAM81A",0.513819491943692,0.591876012411809,0.493243855508556,0.575475842990503,0.537369137160471,0.543691735235116,1.87505673928261,0.550162276919614,0.769566920459275,0.775697769541821,0.986527372782881,0.364908313514497,TRUE,FALSE,FALSE,1.65561452717296,1.49504785593069,2.79375671653792,3.39764385931423,2.08374564205152,3.35817543170641,1.9217406714752,3.97891214220824,3
"ENST00000288502",TRUE,FALSE,"TMEM268",0.6158445522123,0.626652627013879,0.648932577624077,0.660345859873195,0.61417242606881,0.591610328849058,2.42009928023174,0.406254333993894,0.361281263121202,0.429244169083525,0.46389097624432,0.28775843626135,FALSE,FALSE,FALSE,3.34188826250216,2.40986005060844,3.64731081946992,3.51552984974928,3.81012782138758,4.14327171701922,2.83017107660922,3.95176911340052,2
"ENST00000290552",TRUE,FALSE,"IRX6",0.604829146209087,0.605874722140691,0.675277928306373,0.671602778692307,0.682355827753612,0.562532869504291,0.207660053483214,0.186708804138005,1.1041191721192,0.901182242714102,1.09795856216266,0.213197812513879,FALSE,FALSE,FALSE,1.20772608964394,1.69561554792837,1.21951446114354,1.71885379700104,1.82960435994069,1.83377111454411,2.74695768747198,2.78026125793602,0
"ENST00000291700",TRUE,FALSE,"S100B",0.564636746782265,0.536601655710051,0.259355565131548,0.26771848140267,0.526010132162876,0.41659404536855,1.10355976781618,4.73142856556547,22.6447312321062,2.82427247309727,2.09591795380178,34.7980741725889,FALSE,FALSE,FALSE,7.97259832206205,6.91336423477079,8.11802525088062,7.45097747376817,9.06480640061595,9.19642913805217,8.3332172699803,8.89075844585918,2
"ENST00000292169",TRUE,FALSE,"S100A1",0.626738326927952,0.615362906027307,0.434830242239004,0.40605607991377,0.571833434024411,0.499175645309737,1.98067743956218,2.09447703882849,7.49934722919941,2.6169650765366,2.8803556483104,3.26045393939701,FALSE,FALSE,FALSE,7.46308865544158,6.5166245235324,7.73959054420834,6.74926994280031,8.59066690113145,8.87491004778435,8.30011441365908,8.48160079733731,0
"ENST00000294064",TRUE,FALSE,"NEU3",0.559833775170351,0.516378457196658,0.629960955113173,0.579788738565747,0.521198812731883,0.551985337975991,2.3443680076036,1.02773843024103,0.824728411113149,0.528574124095327,0.519330987964082,0.258279984217995,FALSE,FALSE,FALSE,2.9805425156769,1.99859758274569,3.30621443408032,2.51720228778266,3.41172963716448,3.69920885718331,2.27919692682533,2.74667147661214,0
"ENST00000294889",TRUE,FALSE,"C1orf115",0.592148457308938,0.587732541790584,0.57464765530615,0.574437763007892,0.557634902912433,0.556985553230114,2.90973507836093,0.322073189448239,3.63304158240647,1.84082759021173,1.79388935817541,0.409579482233149,FALSE,FALSE,FALSE,1.81393539074003,1.59491932856418,1.85841363970012,1.59491932856418,2.73701366062383,2.7780192185009,2.40732945218496,2.40732945218496,0
"ENST00000295240",TRUE,FALSE,"BBS5",0.657712485593356,0.665261183377995,0.656757113214841,0.694831066092135,0.579572880663975,0.517889415596839,1.81183328210208,0.604487220969458,1.12707319772183,0.522434418537364,0.739463437910328,0.466877765045474,FALSE,FALSE,FALSE,2.75763924734588,2.28503623302842,3.38361894929751,2.75348360510768,3.27758018306125,3.95040950421592,2.58975086065154,3.1420541678011,1
